country_code,wave,n,luck_belief_missing_pct,just_benefits_missing_pct,just_taxes_missing_pct,just_bribe_missing_pct,just_steal_missing_pct
764,5,1531,0.0,0.3,0.1,0.5,100.0
764,6,1194,0.0,1.5,0.4,1.3,1.8
764,7,1479,0.0,0.6,0.2,0.2,0.2
780,5,1001,0.0,0.3,0.4,0.0,100.0
780,6,990,0.0,0.9,0.9,0.2,0.8
788,6,1144,0.0,6.9,4.9,0.2,0.1
788,7,1203,0.0,0.4,0.2,0.2,0.1
792,5,1315,0.0,0.0,0.1,0.2,100.0
792,6,1565,0.0,0.3,0.0,0.0,0.1
792,7,2389,0.0,0.3,0.4,0.3,0.0
804,3,2511,0.0,13.2,7.5,2.2,100.0
804,5,940,0.0,4.9,3.0,2.7,100.0
804,6,1500,0.0,0.0,0.0,0.0,0.0
804,7,1233,0.0,4.8,4.9,3.2,1.4
807,3,876,0.0,7.5,5.4,0.6,100.0
818,5,3032,0.0,0.2,0.2,0.0,100.0
818,6,1523,0.0,0.0,0.0,0.0,0.0
818,7,1183,0.0,3.7,1.3,0.1,0.0
826,5,1027,0.0,2.2,1.9,1.1,100.0
826,7,2569,0.0,0.8,0.6,0.3,0.4
840,3,1504,0.0,0.7,0.5,0.5,100.0
840,5,1180,0.0,0.2,0.2,0.2,100.0
840,6,2149,0.0,0.2,0.5,0.6,0.6
840,7,2574,0.0,0.4,0.3,0.3,0.4
854,5,1372,0.0,2.4,2.0,2.6,100.0
858,3,957,0.0,0.8,0.8,0.3,100.0
858,5,944,0.0,0.5,0.5,0.4,100.0
858,6,943,0.0,2.1,0.1,1.0,0.6
858,7,981,0.0,2.1,1.2,1.8,0.5
860,6,1419,0.0,0.0,0.1,0.1,0.0
860,7,1205,0.0,3.7,0.9,1.1,1.1
862,3,1132,0.0,1.3,0.7,1.4,100.0
862,7,1190,0.0,0.0,0.0,0.0,0.0
887,6,938,0.0,10.4,12.5,2.6,1.6
894,5,1442,0.0,2.4,4.1,1.1,100.0
909,7,444,0.0,0.2,0.5,0.0,0.0
